surface,tourney_level,tourney_date,winner_id,winner_seed,winner_age,loser_id,loser_seed,loser_age,best_of,round,winner_rank,winner_rank_points,loser_rank,loser_rank_points,winner_winrate,loser_winrate,winner_head_to_head_winrate,loser_head_to_head_winrate,winner_surface_winrate,loser_surface_winrate,winner_recent_form,loser_recent_form
Hard,G,20230116,104925,4.0,35.6,126205,,25.6,5,SF,5.0,5070.0,35.0,1160.0,0.8635097493036211,0.5686274509803921,1.0,0.0,0.8704663212435233,0.6103896103896104,0.8,0.7
Hard,G,20230116,104925,4.0,35.6,126774,3.0,24.4,5,F,5.0,5070.0,4.0,5715.0,0.8635097493036211,0.6738197424892703,0.8181818181818182,0.18181818181818177,0.8704663212435233,0.6423357664233577,0.8,0.7
Hard,M,20230306,207989,1.0,19.8,106421,5.0,27.0,3,F,2.0,6780.0,6.0,3775.0,0.7787610619469026,0.6942148760330579,0.6666666666666666,0.33333333333333337,0.7571428571428571,0.7213114754098361,0.9,0.8
Hard,M,20230306,207989,1.0,19.8,206173,11.0,21.5,3,SF,2.0,6780.0,13.0,2655.0,0.7787610619469026,0.6884057971014492,0.75,0.25,0.7571428571428571,0.6829268292682927,0.9,0.7
Hard,M,20230306,106421,5.0,27.0,126207,14.0,25.1,3,SF,6.0,3775.0,16.0,2395.0,0.6942148760330579,0.532051282051282,1.0,0.0,0.7213114754098361,0.5546218487394958,0.8,0.7
Hard,M,20230306,207989,1.0,19.8,200000,8.0,22.5,3,QF,2.0,6780.0,10.0,3245.0,0.7787610619469026,0.5396825396825397,0.5,0.5,0.7571428571428571,0.5795454545454546,0.9,0.7
Hard,M,20230306,206173,11.0,21.5,126203,4.0,25.3,3,QF,13.0,2655.0,5.0,3795.0,0.6884057971014492,0.5625,0.5,0.5,0.6829268292682927,0.5737704918032787,0.7,0.7
Hard,M,20230306,106421,5.0,27.0,200221,23.0,23.7,3,QF,6.0,3775.0,28.0,1390.0,0.6942148760330579,0.53125,1.0,0.0,0.7213114754098361,0.49019607843137253,0.8,0.5
Hard,M,20230306,126207,14.0,25.1,111815,10.0,27.5,3,QF,16.0,2395.0,12.0,2815.0,0.532051282051282,0.5365853658536586,1.0,0.0,0.5546218487394958,0.5263157894736842,0.7,0.5
Hard,M,20230306,207989,1.0,19.8,207733,,21.2,3,R16,2.0,6780.0,56.0,854.0,0.7787610619469026,0.5517241379310345,1.0,0.0,0.7571428571428571,0.6190476190476191,0.9,0.6
Hard,M,20230306,200000,8.0,22.5,126205,17.0,25.8,3,R16,10.0,3245.0,19.0,2000.0,0.5396825396825397,0.5686274509803921,1.0,0.0,0.5795454545454546,0.6103896103896104,0.7,0.7
